City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
196,maceio,-9.6658,-35.7353,29.69,79,40,5.66,BR,1707680122
197,la sarre,48.8002,-79.1996,-5.11,83,100,2.99,CA,1707680010
198,tolanaro,-25.0319,46.9987,27.04,89,40,7.2,MG,1707680122
199,port maria,18.3685,-76.8895,30.03,78,0,12.17,JM,1707680122
200,edson,53.5835,-116.4356,0.08,59,0,2.06,CA,1707679893
201,okhotsk,59.3833,143.3,-29.33,93,88,2.58,RU,1707680122
202,florida,28.7505,-82.5001,29.44,61,0,3.09,US,1707680086
203,sisimiut,66.9395,-53.6735,-20.33,93,95,2.62,GL,1707680123
204,moose jaw,50.4001,-105.5344,-0.86,69,22,7.72,CA,1707680123
205,new norfolk,-42.7826,147.0587,14.84,94,100,1.19,AU,1707680123
206,nicoya,10.1483,-85.452,36.5,33,4,2.18,CR,1707680123
207,enewetak,11.3474,162.3373,26.38,75,100,10.45,MH,1707680108
208,tozeur,33.9197,8.1335,17.22,36,20,5.14,TN,1707680124
209,constantia,44.1833,28.65,12.61,74,97,8.03,RO,1707679839
210,fort mcmurray,56.7268,-111.381,1.77,55,0,6.69,CA,1707680052
211,sao gabriel da cachoeira,-0.1303,-67.0892,30.89,74,20,2.57,BR,1707680124
212,villa gesell,-37.2639,-56.973,28.31,57,53,1.38,AR,1707680124
213,paita,-5.0892,-81.1144,25.29,84,97,6.1,PE,1707680124
214,al kharijah,25.4514,30.5464,15.44,26,33,1.57,EG,1707680125
215,justo daract,-33.8594,-65.1828,32.42,46,82,5.05,AR,1707680125
216,kodiak,57.79,-152.4072,0.73,100,100,0.0,US,1707680111
217,akureyri,65.6835,-18.0878,0.96,69,100,4.12,IS,1707680125
218,san juan,-31.5375,-68.5364,35.05,34,1,3.91,AR,1707680125
219,chauk,20.8833,94.8167,20.15,40,0,1.14,MM,1707680125
220,andkhoy,36.9529,65.1238,13.69,31,100,1.61,AF,1707680126
221,carlsbad,33.1581,-117.3506,19.56,38,0,3.58,US,1707679890
222,antalaha,-14.9003,50.2788,24.93,92,99,1.67,MG,1707680126
223,shitanjing,39.2342,106.3439,0.49,22,1,2.36,CN,1707680126
224,chonchi,-42.6128,-73.8092,16.56,80,97,2.26,CL,1707680126
225,ocean city,39.2776,-74.5746,10.14,77,100,1.79,US,1707680126
226,nizhnesortymskiy,62.4397,71.7603,-21.78,92,97,6.08,RU,1707680126
227,badiyah,22.45,58.8,21.28,77,100,4.98,OM,1707680127
228,lodja,-3.4833,23.4333,22.64,85,100,1.22,CD,1707680127
229,bukhara,39.7747,64.4286,7.97,76,0,2.06,UZ,1707680127
230,pacasmayo,-7.4006,-79.5714,24.16,85,14,6.89,PE,1707680127
231,zhangye,38.9342,100.4517,0.85,21,1,2.82,CN,1707680127
232,paulden,34.8856,-112.4682,8.05,55,0,1.34,US,1707680127
233,polyarnyy,69.1989,33.4478,-16.05,94,100,2.91,RU,1707680127
234,nemuro,43.3236,145.575,-5.51,73,64,0.63,JP,1707680080
235,cabedelo,-6.9811,-34.8339,27.37,77,28,5.59,BR,1707680128
236,hancheng,32.5186,112.3522,7.25,85,7,2.9,CN,1707680128
237,minas de marcona,-15.2119,-75.1103,24.01,59,90,6.85,PE,1707680128
238,boyalik,41.2634,28.6314,14.51,13,100,12.22,TR,1707680128
239,kapa'a,22.0752,-159.319,25.05,77,75,3.09,US,1707680128
240,dapa,9.7594,126.0531,26.0,80,68,7.37,PH,1707680128
